topic,rank,doc_snippet
-1,1,Donald Trump is demanding ten year prison sentences for protesters who tried to pull down a statue of former president Andrew Jackson while trying to build a 'Black House Autonomous Zone' outside the White House. Trump announced that 'numerous people' have been arrested for the 'disgraceful vandalism' of the 'magnificent' statue of Jackson Lafayette Park and also wrote that protesters had defaced 
-1,2,Donald Trump is demanding ten year prison sentences for protesters who tried to pull down a statue of former president Andrew Jackson while trying to build a 'Black House Autonomous Zone' outside the White House. Trump announced that 'numerous people' have been arrested for the 'disgraceful vandalism' of the 'magnificent' statue of Jackson Lafayette Park and also wrote that protesters had defaced 
-1,3,"BET founder Robert Johnson has called protesters pulling down Confederate and racist statues 'borderline anarchists' and said 'black people laugh at white people' doing it, as Donald Trump prepares to use US Marshals to defend monuments nationwide. Johnson, who became the first black American billionaire in 2001 and has previously called on the US government to provide slavery reparations, blasted"
0,1,"The Republican bid to overturn President-elect Joe Biden's victory ended early Thursday morning after the Senate voted 92-7 to dismiss a challenge to Pennsylvania's Electoral College vote. The vote ended a nearly 12-hour saga that saw supporters of President Donald Trump mobbing the U.S. Capitol, in a violent incident that left four dead. Senators had returned to their chamber to debate an objecti"
0,2,"House Speaker Nancy Pelosi and Democratic leaders formally accused Donald Trump of incitement to insurrection Monday morning as part of an attempt to shame him out of office at breakneck speed. Democrats introduced their impeachment resolution, first floated Friday, accusing Trump of 'incitement of insurrection' as the House met and later announced there would be a vote on it on Wednesday starting"
0,3,"The two top Democrats in Congress, Sen. Charles Schumer and Speaker Nancy Pelosi, reached out directly to Vice President Mike Pence Thursday to try to push him to act immediately to remove President Trump from office, only to be rebuffed. The two leaders called Pence hours after he had overseen a Joint Session of Congress to count the electoral votes to make Joe Biden the next president, despite i"
1,1,"A suspected rioter sobbed in the dock today while a woman who pushed a wheelie bin at police complained she had poor mental health. Curtis Coulson, who is accused of waving a stick 'in a threatening manner' towards a woman during a riot in Sheffield, wiped away tears throughout his 20 minute-long appearance in court today. The 30-year-old, who denied one charge of affray, became even more upset wh"
1,2,"Boris Johnson believes Britain is not a racist country and backed police to arrest any Black Lives Matter supporter who attacked officers or defaced statues, his spokesman said today Downing Street has said the toppling of the monument to 17th century slave trader Edward Colston in Bristol yesterday was an 'act of criminal damage' as Avon and Somerset Police came under fire for not holding anyone "
1,3,"Boris Johnson believes Britain is not a racist country and backed police to arrest any Black Lives Matter supporter who attacked officers or defaced statues, his spokesman said today Downing Street has said the toppling of the monument to 17th century slave trader Edward Colston in Bristol yesterday was an 'act of criminal damage' as Avon and Somerset Police came under fire for not holding anyone "
2,1,"President Donald Trump ridiculed ongoing protests in Portland by tweeting a video of an activist accidentally setting himself on fire with a Molotov cocktail. 'These are the Democrats ""peaceful protests"". Sick!' Trump panned on Sunday as he retweeted a clip of the activist and fellow protesters desperately trying to extinguish the blaze engulfing his pants. Portland was roiled by its 100th night o"
