topic,rank,doc_snippet
-1,1,"The Black Lives Matter protester who claims he 'tagged' the statue of Winston Churchill he did it because he believes Britain's greatest Prime Minister was a 'confirmed racist' who cared more about colonialism than black people. The masked young man, who is being searched for by the Metropolitan Police today for the vandalism in Parliament Square, claimed that Mr Churchill only fought the Nazis to"
-1,2,"Priti Patel today acts of 'hooliganism' seen during anti-racism protests in the UK over the weekend were 'utterly indefensible' as she warned the perpetrators they will face justice. The Home Secretary told MPs this afternoon that there is 'no excuse for pelting flares at brave officers' or for 'vandalising the statue of Winston Churchill'. She almost 140,000 people were now thought to have attend"
-1,3,"Boris Johnson believes Britain is not a racist country and backed police to arrest any Black Lives Matter supporter who attacked officers or defaced statues, his spokesman today Downing Street has the toppling of the monument to 17th century slave trader Edward Colston in Bristol yesterday was an 'act of criminal damage' as Avon and Somerset Police came under fire for not holding anyone over the i"
0,1,"There’s a better than 50-50 chance Senate Majority Leader Mitch McConnell will vote to convict President Donald Trump in an impeachment trial, according to a new report. McConnell appears to be more set on convicting Trump in an extraordinary turn against the president in the wake of last week's Capitol riot. A Tuesday night report from Axios cited a top Republican close to McConnell saying, 'The "
0,2,"A sixth Republican revealed he would vote to impeach President Donald Trump, but the president's Senate trial won't start until after President-elect Joe Biden is sworn in. Rep. Dan Newhouse of Washington Wednesday afternoon that he would vote yes on impeachment. 'Turning a blind eye to this brutal assault on our Republic is not an option,' Newhouse . 'A vote against impeachment is a vote to valid"
0,3,"The two top Democrats in Congress, Sen. Charles Schumer and Speaker Nancy Pelosi, reached out directly to Vice President Mike Pence Thursday to try to push him to act immediately to remove President Trump from office, only to be rebuffed. The two leaders called Pence hours after he had overseen a Joint Session of Congress to count the electoral votes to make Joe Biden the next president, despite i"
1,1,"Riots have broken out across the UK amid 'anti-immigration' protests linked to the far right with officers firing tear gas into crowds and battling thugs as they are pelted with bricks and rocks. Simmering tensions in the wake of the Southport stabbings have erupted into protests around the country, with mayhem breaking out in Leeds, Stoke and Liverpool, where multiple officers have been injured t"
1,2,"King Charles has asked aides to update him daily on the riots hitting Britain every night, according to reports. The monarch is to be engaging 'privately' in the issues around the riots, which have been engineered by far-right thugs fuelled by misinformation about the identity of the suspect in the Southport stabbings that killed three young girls. Charles has a long history of working with all of"
1,3,"This is the moment a far-right thug was hauled out of his home wearing his camo Crocs alongside a teenager who stood on top of a burnt out car during the Sunderland riots, as cops continue to raid the homes of yobs. Riley Adey, 19, and Reece Greenwood, 31, both from Washington, Tyne and Wear, both pleaded guilty to one count of violent disorder following the chaos last week. Adey - who was seen te"
2,1,"Two Federal Protective Service officers were shot - one fatally - during Friday night protests in Oakland, California, as violent protests across the US intensified over the killing of George Floyd. At least 7,500 demonstrators took to the streets in Oakland last night, clashing with police and sparking arson attacks and vandalism across the city. During the squirmish, two officers with the Federa"
2,2,"Two Federal Protective Service officers were shot - one fatally - during Friday night protests in Oakland, California, as violent protests across the US intensified over the killing of George Floyd. At least 7,500 demonstrators took to the streets in Oakland last night, clashing with police and sparking arson attacks and vandalism across the city. During the squirmish, two officers with the Federa"
2,3,"Two Federal Protective Service officers were shot - one fatally - during Friday night protests in Oakland, California, as violent protests across the US intensified over the killing of George Floyd. At least 7,500 demonstrators took to the streets in Oakland last night, clashing with police and sparking arson attacks and vandalism across the city. During the squirmish, two officers with the Federa"
3,1,"Allow Google Search To use the search feature, we need your consent to load Google Custom Search, which may use cookies or similar technologies. Please click 'Allow and Continue' below to enable search. See our privacy policy for more information. Allow and Continue"
3,2,"Allow Google Search To use the search feature, we need your consent to load Google Custom Search, which may use cookies or similar technologies. Please click 'Allow and Continue' below to enable search. See our privacy policy for more information. Allow and Continue"
3,3,"Allow Google Search To use the search feature, we need your consent to load Google Custom Search, which may use cookies or similar technologies. Please click 'Allow and Continue' below to enable search. See our privacy policy for more information. Allow and Continue"
4,1,Sir Keir Starmer last night called for a second national lockdown to start immediately as the Labour Party claimed vindication for calling for a 'circuit-breaker' two weeks ago. The Labour leader also indicated that his Party will back the Government in a vote on a new England-wide lockdown due to take place in the House of Commons next week. He welcomed Prime Minister Boris Johnson's plans to plu
4,2,The British public has emerged from its enforced hibernation to push strict lockdown rules to their limit this weekend as the Government considers allowing friends and family to gather together in 'bubbles'. People are hitting the roads again today as new data shows traffic congestion has surged from the start of the month and since the lockdown was announced. Walking in London has picked up marke
4,3,"Airlines 'urgently' need government help to survive prolonged coronavirus curbs, industry bosses have warned, after Boris Johnson last night closed all travel corridors. The Prime Minister declared that all arrivals to the UK will have to have tested negative for coronavirus from Monday as he begged Britons to 'stay at home this weekend'. At a Downing Street briefing, the PM warned it was 'not the"
5,1,Tens of thousands of protesters took to the streets after Friday prayers in Muslim communities around world Anti-Israel protests have been held in a 'day of jihad' across the world today after former Hamas leader Khaled Meshaal demanded thousands of Muslims take to the streets to demonstrate amid the ongoing conflict. Tens of thousands of Muslims demonstrated Friday across the Middle East in suppo
5,2,"Nine police officers were injured and missiles were thrown amid efforts to disperse pro-Palestine protesters outside the Israeli Embassy in London on Saturday. Thousands of people marched through the capital on Saturday to the gates of the embassy in Kensington, while protests took place in other cities across the UK and Ireland in solidarity with the people of Palestine. The Metropolitan Police n"
5,3,"Boris Johnson has condemned acts of 'shameful racism' after a convoy of cars bearing Palestinian flags drove through a Jewish community in north London while the passengers screamed 'f*** their mothers, f*** their daughters'. Metropolitan Police confirmed that four arrests were made after one of the cars was stopped at around 6.30pm on Sunday. Footage on social media had showed the vehicles passin"
6,1,"Three people treated in hospital and inquiry launched after Dutch police fired warning shots during Rotterdam riots Three people were being treated in hospital in Rotterdam on Saturday after they were seriously injured when Dutch police fired shots during a violent protest against COVID-19 measures, authorities . Crowds of several hundred rioters torched cars, set off fireworks and threw rocks at "
6,2,"Europe descended into a third day of violent carnage on Sunday as tens of thousands of people in Belgium took to the streets to protest against the return of strict lockdown rules aimed at curbing a rise in Covid infections. Nearly 40,000 people descended on the capital Brussels to protest against new anti-Covid measures banning the unvaccinated from entering restaurants and bars. Some protesters "
6,3,"Europe descended into a third day of violent carnage on Sunday as tens of thousands of people in Belgium took to the streets to protest against the return of strict lockdown rules aimed at curbing a rise in Covid infections. Nearly 40,000 people descended on the capital Brussels to protest against new anti-Covid measures banning the unvaccinated from entering restaurants and bars. Some protesters "
7,1,"Yulia Navalnaya, the wife of Putin critic Alexei Navalny, has been released from custody in Moscow after having been arrested at an anti-Putin rally on Saturday. Alexei's wife was among nearly 3,500 people to have been detained by Russian police officers during protests in as many as 100 cities. After being arrested by officers Yulia, 44, posted a selfie onto her Instagram page with the caption: '"
7,2,"The move sparked panic as flights out of Russia sold out as civilians try to escape a potentially being called up Police wearing blacked-out helmets are dragging anti-mobilisation protestors off the streets of Russia tonight, as thousands come out to demonstrate against being sent to the front lines in Ukraine. More than 1,000 people have been arrested tonight in 37 cities across Russia, including"
7,3,"The move sparked panic as flights out of Russia sold out as civilians try to escape a potentially being called up Police wearing blacked-out helmets are dragging anti-mobilisation protestors off the streets of Russia tonight, as thousands come out to demonstrate against being sent to the front lines in Ukraine. More than 1,000 people have been arrested tonight in 37 cities across Russia, including"
8,1,"Hong Kong's freedoms were declared dead today after China's parliament rubber-stamped a new security law to give Beijing sweeping powers over the city, sparking global outrage. The bill gives the Communist Party draconian powers to punish 'secession, subversion, terrorism and foreign interference' and allows its secret police to operate openly in Hong Kong. Chinese president Xi Jinping cast one of"
8,2,"China's 'unacceptable' crackdown in Hong Kong could shut the door to Huawei's involvement in Britain's 5G mobile network, Boris Johnson has as London and Beijing traded blows today. Mr Johnson the draconian new security law that China has imposed on Hong Kong was 'plainly an unacceptable breach' of the freedoms that the city was guaranteed after Britain handed it back in 1997. Linking the crisis t"
8,3,"China's 'unacceptable' crackdown in Hong Kong could shut the door to Huawei's involvement in Britain's 5G mobile network, Boris Johnson has as London and Beijing traded blows today. Mr Johnson the draconian new security law that China has imposed on Hong Kong was 'plainly an unacceptable breach' of the freedoms that the city was guaranteed after Britain handed it back in 1997. Linking the crisis t"
9,1,"A deadly riot broke out in a prison in Colombia's capital leaving 23 inmates dead, authorities on Sunday, as tensions rise over the spread of the coronavirus. Justice Minister Margarita Cabello described the events at the La Modelo prison in Bogota as an attempted prison escape. But advocates for inmates officials had cracked down on inmates staging a peaceful protest over conditions they feared w"
9,2,"ARE YOU TRAVELLING IN ECUADOR? ARE YOU TRAVELLING IN ECUADOR? ARE YOU TRAVELLING IN ECUADOR? ARE YOU TRAVELLING IN ECUADOR? Email chris.matthews@mailonline.co.uk Ecuador's president Daniel Noboa, 36, has ordered the army onto the streets On Tuesday, armed men broke onto set of a live TV show and threatened people Ecuador has erupted into a 'civil war' with cartel thugs after the president ordered "
9,3,"Alexandria Ocasio-Cortez has finally broken her silence on Cuba and blamed the unrest on America's 'absurdly cruel' embargoes and blasted President Joe Biden for defending the 'Trump-era restrictions'. 'We are seeing Cubans rise up and protest for their rights like never before. We stand in solidarity with them, and we condemn the anti-democratic actions led by President Diaz-Canel. The suppressio"
10,1,"Facebook researchers are to have had extensive knowledge that coronavirus and misinformation about the COVID-19 vaccine existed on the company's apps, yet did little to combat it let alone share the information with the White House. Documents presented by Facebook whistleblower Frances Haugen show how multiple studies were run producing a number various number detailing the types of users who were"
10,2,"Whistleblowers at social media giant Facebook are saying the company didn't do enough to stop the spread of misinformation in the days and weeks leading up to, as well as during, the Capitol riot on January 6. New internal documents provided by former Facebook employee-turned-whistleblower Frances Haugen provide a rare glimpse into how the company appears to have simply stumbled into the Jan. 6 ri"
10,3,"A former spokesperson for President Barack Obama's Treasury Department is calling for Facebook CEO Mark Zuckerberg to resign after more revelations have been made public about the company's failure to stop disinformation. Kara Alaimo, now serving as an associate professor in the Lawrence Herbert School of Communication at Hofstra University, claims that Zuckerberg 'has done little to try to fix' t"
11,1,"Tens of thousands of anti-coup protesters have poured back onto the streets of Myanmar on Sunday, raising their hands in a three-fingered salute during the second day of mass demonstrations against the military takeover. The gesture is a symbol of resistance inspired by the Hunger Games film franchise, which takes place in a dystopian world whose characters live under a brutal totalitarian governm"
11,2,"More video has emerged overnight of Sri Lankan protestors having fun and enjoying themselves after they stormed the President's House and presidential compound on Saturday - until they set alight to the prime minister's residence. The raucous uprising was enough to force the resignation of Sri Lanka's President and Prime Minister, as months of frustration brought on by an unprecedented economic cr"
11,3,"Sri Lanka's President and Prime Minister have agreed to resign, hours after a crowd of angry protesters chased the president from his residence and set the prime minister's home on fire, as months of frustration brought on by an unprecedented economic crisis boiled over. Prime Minister Ranil Wickremesinghe he will leave office once a new government is in place, hours before the speaker of the Sri "
